,country,Classic,Outstanding,Very Good,Good,Total,hover,CODE.x
1,Argentina,10,718,1687,849,3254,Argentina <br> Classic 10 Outstanding 718 Very Good 1687 Good 849,ARG
2,Armenia,0,0,2,0,2,Armenia <br> Classic 0 Outstanding 0 Very Good 2 Good 0,ARM
3,Australia,47,900,1163,219,2282,Australia <br> Classic 47 Outstanding 900 Very Good 1163 Good 219,AUS
4,Austria,113,1809,1184,41,3034,Austria <br> Classic 113 Outstanding 1809 Very Good 1184 Good 41,AUT
5,Bosnia and Herzegovina,0,0,2,0,2,Bosnia and Herzegovina <br> Classic 0 Outstanding 0 Very Good 2 Good 0,BIH
6,Brazil,0,0,31,21,52,Brazil <br> Classic 0 Outstanding 0 Very Good 31 Good 21,BRA
7,Bulgaria,0,25,86,11,122,Bulgaria <br> Classic 0 Outstanding 25 Very Good 86 Good 11,BGR
8,Canada,0,137,111,9,257,Canada <br> Classic 0 Outstanding 137 Very Good 111 Good 9,CAN
9,Chile,2,648,2779,1032,4459,Chile <br> Classic 2 Outstanding 648 Very Good 2779 Good 1032,CHL
10,China,0,0,1,0,1,China <br> Classic 0 Outstanding 0 Very Good 1 Good 0,CHN
11,Croatia,0,10,31,11,52,Croatia <br> Classic 0 Outstanding 10 Very Good 31 Good 11,HRV
12,Cyprus,0,0,11,0,11,Cyprus <br> Classic 0 Outstanding 0 Very Good 11 Good 0,CYP
13,Czech Republic,0,0,11,1,12,Czech Republic <br> Classic 0 Outstanding 0 Very Good 11 Good 1,CZE
14,Egypt,0,0,0,1,1,Egypt <br> Classic 0 Outstanding 0 Very Good 0 Good 1,EGY
15,England,3,57,14,0,71,England <br> Classic 3 Outstanding 57 Very Good 14 Good 0,GBR
16,France,665,8527,11354,1547,21428,France <br> Classic 665 Outstanding 8527 Very Good 11354 Good 1547,FRA
17,Georgia,0,18,56,12,86,Georgia <br> Classic 0 Outstanding 18 Very Good 56 Good 12,GEO
18,Germany,61,1046,759,16,1821,Germany <br> Classic 61 Outstanding 1046 Very Good 759 Good 16,DEU
19,Greece,0,75,321,54,450,Greece <br> Classic 0 Outstanding 75 Very Good 321 Good 54,GRC
20,Hungary,5,60,74,7,141,Hungary <br> Classic 5 Outstanding 60 Very Good 74 Good 7,HUN
21,India,0,7,2,0,9,India <br> Classic 0 Outstanding 7 Very Good 2 Good 0,IND
22,Israel,0,193,248,26,467,Israel <br> Classic 0 Outstanding 193 Very Good 248 Good 26,ISR
23,Italy,346,6302,12032,860,19194,Italy <br> Classic 346 Outstanding 6302 Very Good 12032 Good 860,ITA
24,Lebanon,0,10,19,6,35,Lebanon <br> Classic 0 Outstanding 10 Very Good 19 Good 6,LBN
25,Luxembourg,0,1,5,0,6,Luxembourg <br> Classic 0 Outstanding 1 Very Good 5 Good 0,LUX
26,Macedonia,0,0,10,2,12,Macedonia <br> Classic 0 Outstanding 0 Very Good 10 Good 2,MKD
27,Mexico,0,5,32,33,70,Mexico <br> Classic 0 Outstanding 5 Very Good 32 Good 33,MEX
28,Moldova,0,11,39,9,59,Moldova <br> Classic 0 Outstanding 11 Very Good 39 Good 9,MDA
29,Morocco,0,6,19,0,25,Morocco <br> Classic 0 Outstanding 6 Very Good 19 Good 0,MAR
30,New Zealand,2,489,853,75,1417,New Zealand <br> Classic 2 Outstanding 489 Very Good 853 Good 75,NZL
31,Peru,0,0,6,10,16,Peru <br> Classic 0 Outstanding 0 Very Good 6 Good 10,PER
32,Portugal,102,1707,2912,512,5131,Portugal <br> Classic 102 Outstanding 1707 Very Good 2912 Good 512,PRT
33,Romania,0,4,98,8,110,Romania <br> Classic 0 Outstanding 4 Very Good 98 Good 8,ROU
34,Serbia,0,0,11,0,11,Serbia <br> Classic 0 Outstanding 0 Very Good 11 Good 0,SRB
35,Slovakia,0,0,1,0,1,Slovakia <br> Classic 0 Outstanding 0 Very Good 1 Good 0,SVK
36,Slovenia,0,16,67,4,87,Slovenia <br> Classic 0 Outstanding 16 Very Good 67 Good 4,SVN
37,South Africa,3,411,782,72,1265,South Africa <br> Classic 3 Outstanding 411 Very Good 782 Good 72,ZAF
38,Spain,51,1545,3820,1229,6594,Spain <br> Classic 51 Outstanding 1545 Very Good 3820 Good 1229,ESP
39,Switzerland,0,3,3,1,7,Switzerland <br> Classic 0 Outstanding 3 Very Good 3 Good 1,CHE
40,Turkey,0,22,56,5,83,Turkey <br> Classic 0 Outstanding 22 Very Good 56 Good 5,TUR
41,Ukraine,0,0,4,10,14,Ukraine <br> Classic 0 Outstanding 0 Very Good 4 Good 10,UKR
42,Uruguay,0,17,68,24,109,Uruguay <br> Classic 0 Outstanding 17 Very Good 68 Good 24,URY
43,US,993,21332,26697,5482,53511,US <br> Classic 993 Outstanding 21332 Very Good 26697 Good 5482,USA
